0.4142,-0.1363,0.1808,0.2446,6,3,3,12,3,6,1,0,1
0.6359,0.0336,0.4027,0.4568,6,3,3,12,6,6,1,0,1
0.5463,0.4103,0.5935,0.775,9,9,9,1,0,4,1,0,1
0.3939,-0.3526,0.2134,1.068,12,3,12,1,0,4,1,0,1
0.251,-0.2984,0.3385,1.2772,1,0,4,1,0,4,0,0,0
0.0678,0.4227,0.7854,1.4107,1,3,4,0,0,0,0,0,0
0.0444,-0.1716,0.3474,1.46,1,3,0,3,0,0,1,0,0
0.0193,-0.0647,0.3227,1.4847,0,3,0,3,0,0,0,0,0
0.0075,-0.0246,0.7066,1.4947,3,0,0,3,0,0,0,0,0
0.0029,-0.0093,0.5507,1.4985,3,0,0,0,0,0,0,0,0
0.0012,-0.0034,0.4549,1.5,0,3,0,3,0,0,0,0,0
0.0008,0.0009,0.3451,1.5007,0,3,0,0,0,3,0,0,0
0.2399,0.2401,0.2503,0.336,3,6,3,3,3,1,6,0,1
0.5093,-0.2352,0.0086,0.4715,9,6,1,3,3,1,3,9,0
0.3083,-0.1882,0.2562,0.7356,3,1,1,9,1,1,9,3,0
-0.0815,0.1494,0.1991,0.8948,9,1,1,12,1,1,3,3,0
0.455,-0.195,0.1704,0.8573,1,1,0,4,1,0,0,3,0
0.4961,-0.0471,0.1645,1.0892,1,1,0,4,1,0,0,3,3
0.1979,0.027,0.3797,1.3375,1,0,0,1,0,0,3,3,0
0.0735,0.0152,0.2601,1.4365,0,0,0,0,0,0,3,3,0
0.027,0.0065,0.1964,1.4733,0,0,0,0,0,0,3,3,3
0.009,0.0019,0.1569,1.4868,0,0,0,0,0,0,3,0,3
0.002,-0.0003,0.3305,1.4913,0,0,0,0,0,0,3,3,0
-0.002,-0.0026,0.2368,1.4924,0,0,0,0,0,0,3,3,0
-0.0041,-0.0039,0.1841,1.4914,0,0,0,0,0,0,3,3,3
0.0641,0.3213,0.0191,0.3181,3,3,6,6,3,3,0,1,1
0.3576,0.0388,0.525,0.3853,9,6,1,3,3,1,3,9,0
0.3046,0.3023,0.3671,0.5644,12,3,1,0,6,4,3,9,3
0.3535,0.4626,0.2157,0.7325,6,9,1,6,9,4,6,3,3
0.5601,-0.1207,0.0612,0.9383,6,9,9,0,1,1,3,4,1
0.247,-0.208,0.4022,1.2198,1,0,4,1,0,4,0,3,0
0.0859,0.3584,0.6479,1.3474,0,4,1,1,0,3,1,0,3
0.04,-0.5516,0.3346,1.4019,1,0,3,3,0,3,1,0,0
0.0542,-0.2086,0.3247,1.4484,0,3,0,3,0,3,0,0,0
0.0251,-0.0775,0.3083,1.4792,0,0,3,3,0,0,0,0,0
0.0098,-0.0291,0.2884,1.4922,0,0,3,3,0,3,0,0,0
0.0037,-0.0111,0.563,1.4972,0,0,3,3,0,3,0,0,0
0.0012,-0.0041,0.4628,1.4991,0,3,0,3,0,3,0,0,0
0.0004,-0.0016,0.3985,1.4998,0,0,3,3,0,0,0,0,0
0.8127,0.0777,0.0423,0.3918,0,9,6,0,0,3,3,6,6
0.1158,-0.1005,0.0082,0.7991,0,0,3,6,0,9,9,6,6
-0.3441,0.0829,0.0989,0.8585,0,3,9,12,6,3,3,1,4
-0.103,0.3663,0.317,0.6877,6,6,9,6,9,1,3,3,4
0.3273,0.1957,0.0472,0.6621,6,9,9,6,6,9,0,4,1
0.4735,0.0997,0.1102,0.8315,9,1,1,3,1,4,12,0,3
0.5085,0.0197,0.102,1.0694,9,12,9,0,1,1,3,1,1
0.199,0.264,0.2097,1.3238,1,0,4,1,0,1,0,3,0
0.0775,0.1468,0.1612,1.4294,1,0,1,0,0,0,0,3,3
0.031,0.0537,0.1029,1.47,1,0,1,0,0,0,0,3,0
0.0113,0.0201,0.0704,1.4858,0,0,0,0,0,0,0,3,0
0.0037,0.0076,0.1412,1.4915,0,0,0,0,0,0,0,3,0
0.0008,0.0028,0.0901,1.4934,0,0,0,0,0,0,0,3,3
-0.0003,0.001,0.0618,1.4938,0,0,0,0,0,0,0,3,0
-0.0007,0.0003,0.044,1.4937,0,0,0,0,0,0,0,3,0
0.3316,0.0071,1.1267,0.1907,3,6,1,3,3,0,6,12,1
-0.0556,0.3351,1.3038,0.3566,3,6,1,3,6,0,6,12,1
-0.1116,0.3618,1.0157,0.369,3,12,9,0,6,1,9,4,3
-0.2859,0.2717,0.6358,0.3617,6,6,3,6,9,3,9,1,4
0.0377,0.1876,0.0719,0.2575,9,9,1,9,6,4,6,6,0
0.1461,0.3546,0.2829,0.2919,15,9,12,9,9,3,1,0,4
0.3213,-0.2072,0.1995,0.4058,9,9,1,12,9,4,9,9,0
0.3283,0.2576,0.5041,0.5758,6,1,1,12,1,1,12,0,3
0.3703,0.543,0.32,0.7511,12,1,1,15,1,1,15,3,0
0.5331,0.4515,0.0559,0.9749,12,1,1,15,1,1,12,3,0
0.2538,0.4533,0.2853,1.2618,1,6,1,1,0,1,0,0,0
0.1064,0.2158,0.247,1.4071,1,3,1,0,0,0,0,0,0
0.0436,0.0783,0.1616,1.4643,0,0,0,0,0,0,0,0,0
0.0166,0.0292,0.1142,1.4867,0,3,0,0,0,0,0,0,0
0.0061,0.011,0.086,1.4951,0,3,0,0,0,0,0,0,0
0.0022,0.0041,0.1662,1.4982,0,3,0,0,0,0,0,0,0
0.0008,0.0015,0.117,1.4993,0,0,0,0,0,0,0,0,0
0.0003,0.0006,0.0876,1.4997,0,3,0,0,0,0,0,0,0
0.3338,0.0644,1.2518,0.1949,6,12,6,3,9,1,6,0,1
-0.0187,0.2279,1.3063,0.3633,6,12,6,3,9,1,9,0,1
-0.0866,0.3497,1.14,0.3718,3,12,9,0,6,1,9,4,3
-0.0745,0.3897,0.7716,0.3722,6,12,4,6,0,3,12,12,1
-0.1003,0.3308,0.3073,0.3875,6,15,12,9,3,1,9,4,0
-0.0778,0.3059,0.3534,0.3758,9,15,9,12,9,1,3,4,0
0.0014,-0.1247,0.0834,0.37,12,9,12,12,6,12,1,0,4
0.2582,0.1599,0.2934,0.3759,15,9,12,12,9,12,1,0,4
0.3782,-0.0513,0.1788,0.5114,12,15,15,1,0,4,1,0,1
-0.2122,-0.2454,0.0039,0.701,15,4,1,12,0,0,12,1,1
0.4071,0.4451,0.2622,0.6074,18,1,1,12,3,3,12,1,1
0.6336,-0.4027,0.0088,0.8409,1,3,4,1,0,1,0,3,0
0.4065,0.1045,0.1634,1.1752,1,6,4,1,0,1,0,0,0
0.1523,0.0409,0.1103,1.3794,1,3,1,0,0,0,0,3,0
0.0559,0.0146,0.1936,1.4557,0,3,0,0,0,0,0,3,0
0.0204,0.0054,0.1371,1.4837,0,0,0,0,0,0,0,3,0
0.0075,0.002,0.1044,1.494,0,3,0,0,0,0,0,0,0
0.0027,0.0007,0.0831,1.4977,0,3,0,0,0,0,0,3,0
0.001,0.0002,0.1679,1.4991,0,3,0,0,0,0,0,3,0
0.0003,0.0001,0.1202,1.4996,0,0,0,0,0,0,0,0,0
0.4277,0.0695,0.0422,0.1943,18,12,6,9,3,3,0,3,6
0.1296,0.1686,0.0569,0.4096,18,15,3,6,6,6,0,3,6
-0.187,0.2068,0.3387,0.4819,18,12,3,9,9,3,0,0,9
0.0926,-0.3158,0.0888,0.4019,6,9,3,6,6,1,12,4,1
0.3286,0.1422,0.5023,0.4752,9,9,1,9,6,4,6,6,0
0.2685,0.2597,0.5116,0.6435,9,9,1,12,0,4,9,12,0
