"7.88311,4.0735","7.91359,4.0735","7.9339,4.0735","7.95422,4.08559","7.95422,4.0735","7.97454,4.08559","7.99485,4.0735","8.04565,4.09768","8.06597,4.10976","8.09644,4.10976","8.1066,4.10976","8.13708,4.12185","8.17771,4.13394","8.25898,4.15811","8.30977,4.18229","8.35041,4.20646","8.35041,4.20646","8.4012,4.23064","8.45199,4.25481","8.54342,4.31525","8.60437,4.35152","8.65517,4.37569","8.64501,4.37569","8.70596,4.39987","8.76691,4.42404","8.87866,4.4603","8.93961,4.49657","9.01072,4.49657","9.02088,4.49657","9.07167,4.50865","9.14278,4.53283","9.27484,4.557","9.34595,4.58118","9.40691,4.59327","9.40691,4.59327","9.46786,4.60535","9.52881,4.64162","9.65071,4.70205","9.72182,4.7504","9.78278,4.78667","9.79293,4.77458","9.85389,4.82293","9.91484,4.8471","10.0469,4.90754","10.118,4.91963","10.179,4.95589","10.179,4.95589","10.2399,4.98007","10.311,5.01633","10.4532,5.08886","10.5142,5.12512","10.5853,5.14929","10.5752,5.14929","10.6463,5.17347","10.7072,5.19764","10.8291,5.25808","10.8901,5.29434","10.9409,5.31852","10.951,5.31852","10.9815,5.35478","11.0424,5.41522","11.1339,5.48774","11.1644,5.52401","11.2151,5.57236","11.205,5.58444","11.2558,5.60862","11.2863,5.63279","11.3675,5.69323","11.4082,5.72949","11.4488,5.75367","11.4488,5.75367","11.4894,5.78993","11.5301,5.8262","11.6012,5.86246","11.6316,5.89872","11.6621,5.89872","11.652,5.89872","11.6926,5.9229","11.7129,5.93498","11.7536,5.99542","11.7739,6.00751","11.784,6.04377","11.7739,6.03168","11.8043,6.06795","11.7942,6.08003","11.8247,6.14047","11.8247,6.15256","11.8247,6.17673","11.8247,6.17673","11.8247,6.20091","11.8247,6.213","11.8247,6.22508","11.8247,6.26135","11.8247,6.26135","11.8247,6.26135","11.8247,6.27343","11.8348,6.29761","11.8348,6.29761","11.845,6.3097","11.8348,6.3097","11.845,6.3097","11.8348,6.3097","11.8551,6.32178","11.8653,6.34596","11.8653,6.34596","11.8755,6.35805","11.8856,6.34596","11.8755,6.35805","11.8958,6.35805","11.9059,6.37013","11.9059,6.39431","11.9059,6.39431","11.9059,6.39431","11.9059,6.4064","11.9161,6.4064","11.9263,6.43057","11.9263,6.44266","11.9263,6.46684","11.9263,6.46684","11.9263,6.47892","11.9364,6.47892","11.9364,6.5031","11.9364,6.51519","11.9364,6.53936","11.9364,6.53936","11.9364,6.55145","11.9364,6.55145","11.9466,6.56354","11.9466,6.58771","11.9466,6.58771","11.9466,6.58771","11.9466,6.58771","11.9567,6.58771","11.977,6.58771","11.977,6.58771","11.9872,6.58771","11.977,6.58771","11.9872,6.58771","11.9872,6.58771","11.9872,6.5998","11.9872,6.58771","11.9974,6.5998","12.0075,6.58771","11.9974,6.5998","12.0075,6.58771","12.0075,6.5998","12.0075,6.5998","12.0177,6.5998","12.0278,6.5998","12.0278,6.61189","12.0278,6.62397","12.038,6.62397","12.0482,6.62397","12.0482,6.63606","12.0482,6.64815","12.0482,6.63606","12.0482,6.64815","12.0583,6.64815","12.0786,6.64815","12.0786,6.64815","12.0786,6.64815","12.0888,6.64815","12.0888,6.64815","12.0888,6.63606","12.0989,6.64815","12.1091,6.63606","12.0989,6.64815","12.1193,6.63606","12.1294,6.64815","12.1193,6.62397","12.1396,6.62397","12.1396,6.62397","12.1396,6.62397","12.1396,6.62397","12.1497,6.62397","12.1497,6.63606","12.1497,6.64815","12.1599,6.64815","12.1599,6.64815","12.1701,6.66024","12.1599,6.67232","12.1802,6.67232","12.1802,6.68441","12.1904,6.6965","12.1802,6.68441","12.1904,6.6965","12.2005,6.6965","12.2209,6.6965","12.2412,6.6965","12.2513,6.70859","12.2412,6.72067","12.2513,6.70859","12.2513,6.73276","12.2716,6.74485","12.2818,6.73276","12.3021,6.74485","12.3021,6.73276","12.3123,6.74485","12.3123,6.74485","12.3428,6.74485","12.3732,6.74485","12.3834,6.74485","12.3935,6.74485","12.4037,6.74485","12.4443,6.74485","12.4951,6.75694","12.5256,6.76902","12.5662,6.75694","12.5662,6.76902","12.5967,6.75694","12.617,6.75694","12.678,6.74485","12.7085,6.73276","12.7491,6.73276","12.7593,6.73276","12.7796,6.73276","12.8101,6.73276","12.9015,6.73276","12.932,6.73276","12.9726,6.73276","12.9726,6.73276","13.0031,6.73276","13.0234,6.72067","13.0843,6.70859","13.1047,6.70859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6.77582,4.3636","6.78598,4.3636","6.79613,4.3636","6.79613,4.3636","6.79613,4.3636","6.80629,4.3636","6.81645,4.35152","6.84693,4.33943","6.86724,4.35152","6.88756,4.33943","6.88756,4.35152","6.90788,4.33943","6.9282,4.33943","6.98915,4.33943","7.02978,4.32734","7.07042,4.31525","7.07042,4.31525","7.10089,4.31525","7.14153,4.30316","7.2228,4.27899","7.26343,4.2669","7.30407,4.27899","7.30407,4.2669","7.3447,4.27899","7.38534,4.2669","7.47676,4.27899","7.5174,4.27899","7.56819,4.29108","7.56819,4.30316","7.60883,4.30316","7.65962,4.31525","7.75105,4.3636","7.80184,4.38778","7.85263,4.39987","7.85263,4.39987","7.89327,4.41195","7.94406,4.44822","8.02533,4.47239","8.07612,4.49657","8.1066,4.50865","8.11676,4.52074","8.16755,4.53283","8.20819,4.557","8.29961,4.58118","8.35041,4.59327","8.39104,4.59327","8.4012,4.59327","8.44184,4.60535","8.49263,4.62953","8.58406,4.6537","8.62469,4.66579","8.66533,4.66579","8.67548,4.66579","8.70596,4.67788","8.74659,4.70205","8.82786,4.72623","8.8685,4.73832","8.90913,4.73832","8.91929,4.73832","8.94977,4.73832","9.00056,4.7504","9.09199,4.77458","9.13262,4.78667","9.18342,4.78667","9.18342,4.78667","9.22405,4.79875","9.27484,4.82293","9.34595,4.8471","9.38659,4.8471","9.42722,4.85919","9.42722,4.8471","9.46786,4.85919","9.50849,4.85919","9.5796,4.87128","9.62024,4.88337","9.66087,4.87128","9.66087,4.88337","9.70151,4.88337","9.73198,4.88337","9.82341,4.89545","9.86405,4.90754","9.88436,4.90754","9.88436,4.90754","9.925,4.91963","9.95547,4.9438","10.0164,4.96798","10.0469,4.98007","10.0774,4.98007","10.0774,4.98007","10.1079,4.99215","10.1282,5.01633","10.1891,5.04051","10.2196,5.05259","10.2399,5.06468","10.2501,5.07677","10.2704,5.06468","10.3009,5.10094","10.3415,5.10094","10.372,5.12512","10.4025,5.12512","10.4025,5.12512","10.4228,5.13721","10.4532,5.16138","10.504,5.17347","10.5244,5.17347","10.5548,5.17347","10.5548,5.17347","10.5752,5.18556","10.5955,5.19764","10.6361,5.19764","10.6666,5.20973","10.6869,5.22182","10.6869,5.20973","10.6971,5.22182","10.7174,5.22182","10.7478,5.22182","10.7682,5.22182","10.7885,5.22182","10.7885,5.22182","10.8088,5.22182","10.8291,5.20973","10.8698,5.20973","10.8901,5.20973","10.9104,5.19764","10.9104,5.18556","10.9307,5.18556","10.951,5.18556","10.9917,5.18556","11.0018,5.17347","11.012,5.16138","11.012,5.16138","11.0221,5.16138","11.0323,5.16138","11.0526,5.14929","11.0628,5.13721","11.0729,5.14929","11.0729,5.13721","11.0729,5.14929","11.0831,5.13721","11.0932,5.14929","11.1034,5.13721","11.1136,5.14929","11.1136,5.13721","11.1136,5.14929","11.1237,5.14929","11.1237,5.14929","11.1237,5.16138","11.1339,5.17347","11.1339,5.16138","11.1339,5.17347","11.1339,5.16138","11.1237,5.17347","11.1237,5.17347","11.1237,5.17347","11.1237,5.17347","11.1237,5.18556","11.1136,5.19764","11.1034,5.19764","11.1034,5.19764","11.0932,5.20973","11.0932,5.22182","11.0831,5.22182","11.0729,5.22182","11.0526,5.23391","11.0424,5.25808","11.0221,5.27017","11.0221,5.25808","11.0221,5.28226","11.012,5.28226","11.0018,5.30643","11.012,5.31852","11.012,5.31852","11.012,5.31852","11.0221,5.31852","11.0221,5.33061","11.0526,5.34269","11.0729,5.33061","11.0932,5.34269","11.0932,5.33061","11.1136,5.34269","11.144,5.33061","11.1948,5.33061","11.2253,5.31852","11.2558,5.30643","11.2558,5.31852","11.2863,5.30643","11.3167,5.30643","11.3675,5.31852","11.398,5.30643","11.4183,5.31852","11.4183,5.30643","11.4386,5.31852","11.459,5.31852","11.4996,5.33061","11.5097,5.34269","11.5301,5.34269","11.5301,5.34269","11.5402,5.35478","11.5504,5.37896","11.5809,5.40313","11.591,5.42731","11.591,5.43939","11.591,5.42731","11.6012,5.46357","11.6113,5.46357","11.6316,5.49983","11.652,5.52401","11.652,5.53609","11.652,5.53609","11.6621,5.53609","11.6723,5.56027","11.6926,5.58444","11.7028,5.59653","11.7129,5.62071","11.7129,5.62071","11.7129,5.63279","11.7332,5.63279","11.7536,5.66906","11.7637,5.69323","11.7739,5.70532","11.7739,5.69323","11.784,5.71741","11.7942,5.74158","11.8247,5.76576","11.845,5.78993","11.8551,5.80202","11.8551,5.78993","11.8755,5.81411","11.8856,5.83828","11.9059,5.86246","11.9059,5.87455","11.9161,5.88663","11.9161,5.89872","11.9263,5.89872","11.9263,5.91081","11.9364,5.94707","11.9364,5.94707","11.9364,5.95916","11.9364,5.97125","11.9364,5.97125","11.9364,5.97125","11.9364,5.99542","11.9364,5.99542","11.9364,5.99542","11.9364,5.99542","11.9364,5.99542","11.9364,5.99542","11.9364,5.98333","11.9364,5.99542","11.9466,5.98333","11.9466,5.99542","11.9466,5.98333","11.9466,5.99542","11.9567,5.98333","11.9567,5.99542","11.9567,5.98333","11.9567,5.99542","11.9567,5.99542","11.9567,6.00751","11.9669,6.03168","11.9669,6.04377","11.9567,6.04377","11.9567,6.04377","11.9567,6.05586","11.9567,6.06795","11.9567,6.08003","11.9466,6.10421","11.9466,6.1163","11.9466,6.10421","11.9466,6.12838","11.9466,6.14047","11.9364,6.14047","11.9364,6.15256","11.9263,6.17673","11.9263,6.17673","11.9263,6.18882","11.9263,6.18882","11.9263,6.20091","11.9263,6.22508","11.9263,6.23717","11.9263,6.22508","11.9364,6.24926","11.9364,6.26135","11.9466,6.28552","11.9567,6.29761","11.9567,6.32178","11.9567,6.32178","11.9669,6.33387","11.977,6.34596","11.9872,6.38222","11.9974,6.39431","11.9974,6.41848","11.9974,6.41848","12.0075,6.43057","12.0075,6.43057","12.0177,6.46684","12.0278,6.49101","12.0278,6.5031","12.0278,6.49101","12.0278,6.51519","12.0278,6.53936","12.038,6.56354","12.0482,6.57562","12.0482,6.58771","12.0482,6.5998","12.0482,6.5998","12.0583,6.61189","12.0685,6.64815","12.0685,6.64815","12.0685,6.66024","12.0685,6.67232","12.0786,6.67232","12.0888,6.68441","12.0989,6.72067","12.1091,6.73276","12.1294,6.74485","12.1294,6.73276","12.1396,6.75694","12.1599,6.76902","12.2005,6.76902","12.2209,6.78111","12.2513,6.7932","12.2513,6.78111","12.2716,6.80529","12.2818,6.81737","12.3224,6.81737","12.3428,6.82946","12.3631,6.85364","12.3631,6.85364","12.3834,6.86572","12.4037,6.85364","12.4443,6.8899","12.4647,6.8899","12.485,6.90199","12.485,6.91407","12.5053,6.90199","12.5256,6.91407","12.5764,6.91407","12.6069,6.91407","12.6374,6.91407","12.6374,6.91407","12.6678,6.91407","12.6881,6.91407","12.7491,6.90199","12.7694,6.91407","12.7999,6.8899","12.7999,6.8899","12.8304,6.87781","12.8608,6.87781","12.9116,6.85364","12.932,6.84155","12.9624,6.80529","12.9624,6.81737","12.9827,6.7932","13.0031,6.76902","13.0437,6.72067","13.064,6.6965","13.0843,6.67232","13.0843,6.67232","13.1148,6.64815","13.1351,6.63606","13.1758,6.5998","13.1961,6.56354","13.2266,6.55145","13.2266,6.53936","13.2469,6.52727","13.2672,6.49101","13.3078,6.44266","13.3281,6.41848","13.3485,6.39431",,,,,,,,,,,,,,
"6.7555,5.22182","6.76566,5.22182","6.7555,5.23391","6.77582,5.24599","6.77582,5.23391","6.77582,5.24599","6.78598,5.24599","6.79613,5.25808","6.81645,5.28226","6.83677,5.29434","6.83677,5.28226","6.84693,5.29434","6.85709,5.29434","6.89772,5.30643","6.9282,5.31852","6.94851,5.31852","6.94851,5.31852","6.97899,5.31852","7.00947,5.31852","7.07042,5.31852","7.11105,5.31852","7.15169,5.31852","7.16185,5.31852","7.21264,5.30643","7.25327,5.30643","7.35486,5.28226","7.40565,5.28226","7.47676,5.27017","7.4666,5.25808","7.52756,5.25808","7.57835,5.25808","7.65962,5.25808","7.71041,5.28226","7.77136,5.29434","7.77136,5.28226","7.812,5.30643","7.85263,5.33061","7.9339,5.36687","7.9847,5.36687","8.00501,5.37896","8.00501,5.39104","8.05581,5.39104","8.1066,5.40313","8.18787,5.42731","8.2285,5.43939","8.26914,5.42731","8.26914,5.43939","8.30977,5.42731","8.35041,5.45148","8.43168,5.45148","8.48247,5.45148","8.53326,5.45148","8.53326,5.45148","8.5739,5.45148","8.61453,5.43939","8.70596,5.43939","8.75675,5.43939","8.78723,5.43939","8.79739,5.43939","8.82786,5.45148","8.87866,5.46357","8.93961,5.47566","8.97008,5.49983","9.02088,5.51192","9.01072,5.49983","9.05135,5.52401","9.09199,5.52401","9.15294,5.56027","9.18342,5.56027","9.21389,5.58444","9.22405,5.58444","9.24437,5.59653","9.27484,5.63279","9.34595,5.64488","9.37643,5.66906","9.40691,5.68114","9.40691,5.68114","9.42722,5.68114","9.4577,5.69323","9.52881,5.72949","9.55929,5.72949","9.58976,5.72949","9.5796,5.72949","9.6304,5.74158","9.65071,5.75367","9.71167,5.75367","9.7523,5.76576","9.78278,5.76576","9.79293,5.76576","9.82341,5.77785","9.85389,5.76576","9.90468,5.78993","9.94531,5.80202","9.97579,5.80202","9.96563,5.80202","9.99611,5.80202","10.0164,5.81411","10.0672,5.83828","10.0977,5.85037","10.118,5.85037","10.118,5.85037","10.1282,5.86246","10.1586,5.88663","10.179,5.91081","10.1891,5.93498","10.2094,5.94707","10.2094,5.93498","10.2196,5.95916","10.2298,5.97125","10.2704,5.99542","10.2805,6.00751","10.2805,6.03168","10.2805,6.03168","10.2907,6.04377","10.3212,6.04377","10.3313,6.05586","10.3517,6.08003","10.3618,6.08003","10.3517,6.08003","10.372,6.09212","10.3923,6.09212","10.4025,6.09212","10.4126,6.09212","10.4228,6.09212","10.4228,6.09212","10.4329,6.09212","10.4532,6.09212","10.4837,6.09212","10.4939,6.09212","10.5142,6.09212","10.5142,6.09212","10.5345,6.09212","10.5548,6.08003","10.5853,6.09212","10.5955,6.08003","10.6158,6.09212","10.6158,6.08003","10.6259,6.09212","10.6361,6.08003","10.6666,6.09212","10.6767,6.09212","10.6971,6.09212","10.6971,6.09212","10.7072,6.09212","10.7072,6.10421","10.7275,6.1163","10.7275,6.1163","10.7377,6.1163","10.7478,6.1163","10.7478,6.12838","10.7478,6.14047","10.7478,6.14047","10.7478,6.14047","10.758,6.15256","10.7682,6.16465","10.758,6.16465","10.7682,6.16465","10.7682,6.17673","10.7682,6.18882","10.7682,6.18882","10.7682,6.18882","10.7783,6.18882","10.7885,6.20091","10.7885,6.22508","10.7986,6.22508","10.8088,6.22508","10.7986,6.22508","10.819,6.23717","10.8291,6.22508","10.8291,6.23717","10.8393,6.23717","10.8494,6.23717","10.8393,6.23717","10.8494,6.23717","10.8494,6.23717","10.8596,6.22508","10.8799,6.23717","10.8901,6.22508","10.8799,6.22508","10.9002,6.23717","10.9104,6.22508","10.9205,6.22508","10.9307,6.22508","10.9307,6.22508","10.9307,6.22508","10.9409,6.22508","10.9612,6.22508","10.9815,6.22508","10.9917,6.22508","10.9917,6.22508","10.9917,6.22508","11.0018,6.22508","11.0221,6.22508","11.0424,6.22508","11.0526,6.213","11.0526,6.213","11.0526,6.213","11.0526,6.213","11.0628,6.213","11.0831,6.213","11.0831,6.213","11.0831,6.213","11.0831,6.213","11.0932,6.22508","11.0831,6.23717","11.1034,6.23717","11.1136,6.24926","11.1034,6.26135","11.1136,6.26135","11.1034,6.26135","11.1136,6.27343","11.1136,6.29761","11.1136,6.29761","11.1237,6.3097","11.1339,6.29761","11.1339,6.3097","11.1339,6.3097","11.1542,6.32178","11.1644,6.34596","11.1847,6.34596","11.1847,6.34596","11.1948,6.35805","11.1948,6.34596","11.2253,6.37013","11.2456,6.37013","11.2558,6.38222","11.2558,6.37013","11.2659,6.38222","11.2863,6.37013","11.3066,6.39431","11.3167,6.39431","11.3167,6.4064","11.3167,6.39431","11.3167,6.4064","11.3269,6.4064","11.3574,6.41848","11.3472,6.44266","11.3675,6.45475","11.3675,6.44266","11.3675,6.45475","11.3777,6.45475","11.3777,6.47892","11.3777,6.49101","11.3777,6.5031","11.3777,6.49101","11.3777,6.51519","11.3777,6.51519","11.3878,6.52727","11.398,6.52727","11.398,6.53936","11.398,6.55145","11.398,6.55145","11.398,6.55145","11.4183,6.56354","11.4183,6.57562","11.4285,6.56354","11.4386,6.57562","11.4386,6.57562","11.4488,6.57562","11.4793,6.58771","11.4793,6.61189","11.4894,6.61189","11.4996,6.61189","11.4894,6.62397","11.5097,6.62397","11.5199,6.63606","11.5097,6.64815","11.5199,6.66024","11.5097,6.67232","11.5199,6.67232","11.5199,6.67232","11.5301,6.6965","11.5402,6.70859","11.5402,6.73276","11.5402,6.73276","11.5504,6.74485","11.5707,6.74485","11.591,6.75694","11.6113,6.78111","11.6215,6.7932","11.6113,6.78111","11.6418,6.7932","11.652,6.7932","11.6926,6.80529","11.7129,6.81737","11.7332,6.81737","11.7332,6.81737","11.7536,6.82946","11.7739,6.85364","11.8145,6.87781","11.8348,6.8899","11.8551,6.8899","11.8551,6.8899","11.8755,6.90199","11.8958,6.92616","11.9364,6.95034","11.9669,6.96242","11.9872,6.95034","11.9872,6.96242","12.0075,6.96242","12.0278,6.96242","12.0888,6.96242","12.1193,6.96242","12.1599,6.96242","12.1599,6.96242","12.1904,6.95034","12.2107,6.95034","12.2615,6.95034","12.3021,6.95034","12.3326,6.95034","12.3224,6.95034","12.3631,6.95034","12.3935,6.95034","12.4342,6.95034","12.4748,6.95034","12.5053,6.95034","12.5155,6.95034","12.5358,6.95034","12.5662,6.95034","12.6475,6.93825","12.678,6.92616","12.7085,6.92616","12.7186,6.92616","12.7389,6.91407","12.7796,6.8899","12.8405,6.85364","12.8812,6.84155","12.9116,6.81737","12.9218,6.81737","12.9421,6.7932","12.9726,6.78111","13.0539,6.75694","13.0945,6.74485","13.125,6.72067","13.125,6.72067","13.1554,6.70859","13.2062,6.70859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7.41581,5.30643","7.43613,5.31852","7.44629,5.30643","7.47676,5.31852","7.4666,5.30643","7.49708,5.33061","7.50724,5.33061","7.55803,5.34269","7.58851,5.33061","7.62914,5.35478","7.62914,5.35478","7.65962,5.35478","7.6901,5.36687","7.78152,5.37896","7.812,5.39104","7.86279,5.40313","7.86279,5.41522","7.90343,5.41522","7.94406,5.42731","8.02533,5.46357","8.06597,5.45148","8.11676,5.47566","8.12692,5.47566","8.15739,5.47566","8.20819,5.47566","8.29961,5.47566","8.36057,5.47566","8.42152,5.47566","8.42152,5.47566","8.47231,5.47566","8.51295,5.46357","8.60437,5.45148","8.67548,5.46357","8.70596,5.45148","8.71612,5.46357","8.75675,5.45148","8.79739,5.46357","8.8685,5.46357","8.92945,5.46357","8.95993,5.46357","8.95993,5.46357","9.00056,5.47566","9.0412,5.48774","9.14278,5.49983","9.18342,5.51192","9.22405,5.51192","9.22405,5.51192","9.26469,5.52401","9.30532,5.54818","9.38659,5.56027","9.43738,5.54818","9.48818,5.56027","9.47802,5.56027","9.52881,5.56027","9.55929,5.56027","9.66087,5.57236","9.71167,5.58444","9.7523,5.57236","9.7523,5.58444","9.79293,5.58444","9.84373,5.58444","9.94531,5.58444","9.99611,5.59653","10.0367,5.60862","10.0367,5.59653","10.0774,5.62071","10.1282,5.63279","10.2094,5.63279","10.2501,5.64488","10.2907,5.65697","10.2907,5.65697","10.3313,5.66906","10.3618,5.68114","10.4228,5.69323","10.4634,5.71741","10.4837,5.72949","10.4939,5.71741","10.5244,5.74158","10.5447,5.74158","10.5955,5.76576","10.6463,5.76576","10.6564,5.76576","10.6666,5.76576","10.6869,5.76576","10.7072,5.76576","10.758,5.76576","10.7986,5.76576","10.819,5.76576","10.819,5.76576","10.8393,5.76576","10.8596,5.75367","10.9002,5.72949","10.9205,5.72949","10.9409,5.72949","10.9409,5.72949","10.9612,5.72949","10.9815,5.72949","11.0018,5.71741","11.012,5.72949","11.012,5.71741","11.012,5.72949","11.0221,5.71741","11.0424,5.72949","11.0628,5.72949","11.0628,5.72949","11.0729,5.72949","11.0628,5.72949","11.0729,5.74158","11.0729,5.75367","11.0932,5.76576","11.0932,5.77785","11.1034,5.77785","11.1136,5.77785","11.1136,5.78993","11.1237,5.80202","11.144,5.81411","11.1644,5.83828","11.1745,5.83828","11.1644,5.83828","11.1847,5.85037","11.205,5.85037","11.2253,5.86246","11.2456,5.87455","11.2558,5.87455","11.2558,5.87455","11.2761,5.87455","11.2863,5.88663","11.337,5.91081","11.3472,5.91081","11.3675,5.91081","11.3675,5.91081","11.3777,5.9229","11.3878,5.91081","11.4183,5.93498","11.4183,5.94707","11.4285,5.94707","11.4386,5.94707","11.4386,5.95916","11.4488,5.97125","11.459,5.98333","11.459,6.00751","11.459,6.0196","11.459,6.00751","11.459,6.03168","11.4691,6.03168","11.4793,6.05586","11.4691,6.05586","11.4793,6.06795","11.4691,6.05586","11.4793,6.06795","11.4691,6.05586","11.4793,6.06795","11.4691,6.06795","11.4894,6.06795","11.4894,6.06795","11.4894,6.08003","11.4996,6.09212","11.4996,6.08003","11.5097,6.09212","11.5301,6.09212","11.5301,6.09212","11.5402,6.09212","11.5402,6.09212","11.5605,6.09212","11.5707,6.09212","11.591,6.09212","11.591,6.09212","11.6012,6.09212","11.6012,6.09212","11.6113,6.09212","11.6418,6.09212","11.6316,6.09212","11.6418,6.09212","11.6418,6.08003","11.6418,6.09212","11.652,6.08003","11.6723,6.09212","11.6723,6.08003","11.6723,6.08003","11.6824,6.09212","11.6824,6.08003","11.6926,6.09212","11.7028,6.08003","11.6926,6.09212","11.7028,6.08003","11.7028,6.09212","11.7028,6.08003","11.7129,6.09212","11.7231,6.09212","11.7129,6.09212","11.7231,6.09212","11.7129,6.09212","11.7231,6.10421","11.7231,6.12838","11.7231,6.12838","11.7231,6.14047","11.7231,6.12838","11.7231,6.15256","11.7129,6.16465","11.7231,6.16465","11.7129,6.17673","11.7129,6.18882","11.7129,6.18882","11.7129,6.20091","11.7129,6.213","11.7028,6.22508","11.6926,6.24926","11.7028,6.26135","11.6926,6.24926","11.7028,6.27343","11.6926,6.28552","11.7028,6.29761","11.6926,6.3097","11.7028,6.3097","11.7028,6.3097","11.7028,6.32178","11.7129,6.34596","11.7332,6.37013","11.7434,6.37013","11.7434,6.38222","11.7434,6.37013","11.7536,6.39431","11.7739,6.4064","11.784,6.4064","11.784,6.41848","11.7942,6.43057","11.8043,6.41848","11.8043,6.44266","11.8145,6.44266","11.8348,6.45475","11.8348,6.45475","11.845,6.46684","11.8348,6.47892","11.845,6.46684","11.845,6.49101","11.8551,6.5031","11.8653,6.5031","11.8551,6.51519","11.8653,6.52727","11.8551,6.52727","11.8755,6.53936","11.8755,6.57562","11.8755,6.57562","11.8755,6.58771","11.8755,6.5998","11.8755,6.61189","11.8856,6.63606","11.8755,6.66024","11.8856,6.68441","11.8958,6.6965","11.9059,6.68441","11.8958,6.72067","11.9161,6.72067","11.9466,6.74485","11.9466,6.75694","11.9567,6.78111","11.9669,6.78111","11.977,6.7932","12.0075,6.7932","12.038,6.81737","12.0685,6.82946","12.0786,6.85364","12.0888,6.85364","12.0989,6.85364","12.1396,6.86572","12.1904,6.87781","12.2005,6.90199","12.2412,6.91407","12.2412,6.90199","12.2615,6.92616","12.292,6.93825","12.3326,6.95034","12.3631,6.97451","12.3935,6.97451","12.3935,6.97451","12.424,6.9866","12.4545,6.9866","12.5053,6.99869","12.5561,7.01077","12.5764,7.01077","12.5764,7.01077","12.617,7.01077","12.6475,7.02286","12.7288,7.03495","12.7694,7.01077","12.7999,7.01077","12.7999,7.01077","12.8304,6.99869","12.8812,6.99869","12.9421,6.97451","12.9726,6.95034","13.0132,6.92616","13.0132,6.92616","13.0437,6.90199","13.064,6.87781","13.125,6.82946","13.1554,6.80529","13.1961,6.7932","13.1961,6.78111","13.2266,6.76902","13.2469,6.74485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
